node1,node2
910,1590
910,964
910,1221
910,966
910,1481
910,981
910,982
910,1117
910,1253
910,1131
910,1140
910,764
2173,2204
2173,163
2173,636
2173,846
191,448
191,163
191,294
191,395
191,22
1253,163
1253,965
1253,1131
1253,811
1253,910
1253,1311
1728,1536
1728,129
1728,1474
1728,163
1728,1249
1728,168
1728,1775
1728,1110
1728,2967
1728,2719
1729,1016
1729,163
1729,2836
1729,1110
1206,1544
1206,163
1206,789
2177,1883
2177,163
1136,800
1136,163
1136,1060
1136,1286
1136,1030
1136,1575
1136,935
1136,1063
1136,1740
1136,1516
1136,1523
1136,1594
1136,1333
1136,1142
1136,727
1136,1558
1136,1018
1457,163
1457,1237
1457,1462
1457,569
1457,826
1457,828
2265,2347
2265,163
1225,1333
1225,163
1225,1117
2563,163
2563,2220
2563,1583
2563,219
2563,2396
1689,163
1689,38
1689,1738
1689,538
1689,219
1498,289
1498,163
1498,582
1498,1534
1498,1351
1498,1163
1498,1483
1498,2158
1498,1071
1498,2450
1498,1049
1498,2398
563,163
563,37
563,38
563,500
563,247
563,219
2396,1952
2396,2563
2396,163
2396,1583
2396,503
717,1122
717,163
717,2502
717,2568
717,523
717,3667
717,1877
717,188
1890,3736
1890,163
1890,1060
1890,2039
188,129
188,163
188,262
188,42
188,139
188,523
188,141
188,717
188,144
188,721
188,755
188,757
188,120
188,380
188,189
188,415
982,163
982,3604
982,910
982,247
1130,163
1130,1334
1130,959
55,163
55,1832
55,361
55,844
55,1905
55,1784
346,163
346,132
346,363
346,143
346,337
2673,163
2673,995
2673,1224
2673,2541
2673,638
1379,1611
1379,163
1380,163
1380,1611
1380,1717
1380,793
1380,1113
1207,163
1207,900
1207,430
1207,1333
1207,378
2451,129
2451,163
2451,1973
2451,2446
961,523
961,163
961,1515
42,793
42,163
42,188
42,189
624,163
624,3397
624,11
624,112
624,659
624,700
624,572
1573,163
1573,764
1573,1673
1573,1481
1573,910
1573,1432
1573,636
1573,2174
2232,2058
2232,163
2232,411
2232,2731
145,1218
145,163
145,390
145,1224
145,2248
145,2280
145,2251
145,1646
145,2286
145,2296
145,2521
145,1530
2361,163
2361,2216
2361,139
2361,3188
2361,2175
2659,163
2659,2316
2659,2030
2659,743
743,65
743,2659
743,163
743,744
743,2316
743,2030
743,3673
743,2077
744,65
744,163
744,743
744,3368
744,2316
744,2030
744,3474
744,2077
1139,163
1139,1572
1139,780
1139,2736
1139,3378
1139,3672
1139,793
1139,1018
1139,1598
1572,1139
1572,163
1572,3262
1572,1598
1303,163
1303,2202
1303,2347
1303,343
1303,1274
1305,163
1305,1575
1305,1065
1305,1098
1305,1740
1305,728
1305,1106
1305,1016
1305,1274
129,1728
129,1409
129,163
129,2220
129,2446
129,15
129,2193
129,2451
129,1204
129,1973
129,2165
129,22
129,538
129,2363
129,188
415,163
415,995
415,2664
415,1737
415,1832
415,523
415,1836
415,712
415,209
415,2353
415,789
415,2103
415,188
415,1790
2204,163
2204,3340
2204,846
2204,636
2204,2173
2204,3454
1224,2673
1224,145
1224,163
1224,1333
219,163
219,2563
219,38
219,712
219,1738
219,1325
219,846
219,402
219,563
219,3570
219,757
219,1689
219,1404
2667,163
2667,2504
2667,2381
2667,2295
2667,2429
727,1136
727,1016
727,163
727,1799
448,163
448,191
237,329
237,2883
237,163
237,1060
2557,163
2557,686
2557,430
2557,1947
2200,1969
2200,163
2200,1797
2200,2703
22,129
22,163
22,3268
22,2257
22,1790
22,191
1218,833
1218,163
1218,1571
1218,1670
1218,714
1218,1035
1218,1516
1218,1424
1218,145
1218,1299
1218,1530
2202,1571
2202,163
2202,2638
2202,3056
2202,1303
2202,1980
1069,163
1069,3173
1069,422
1069,1096
1069,1455
1069,1685
1069,793
1178,163
1178,1476
1178,995
1178,1736
1178,1737
1178,1034
1178,1099
1178,1230
1178,1231
1178,1232
1178,1362
1178,854
1178,1688
1178,1690
1178,956
2175,1696
2175,163
2175,3013
2175,2087
2175,2249
2175,2250
2175,1257
2175,1745
2175,1009
2175,1362
2175,1940
2175,2259
2175,3282
2175,1719
2175,120
2175,2361
2175,2206
966,163
966,964
966,965
966,902
966,1673
966,1481
966,1131
966,910
966,1140
1219,1153
1219,163
757,163
757,2058
757,1965
757,846
757,755
757,219
757,188
1685,163
1685,1069
1685,422
1685,1455
1691,793
1691,163
1691,422
1850,2554
1850,163
1159,3532
1159,163
1159,2564
1159,1485
1410,1153
1410,163
380,1473
380,1474
380,163
380,934
380,1737
380,1257
380,2641
380,2196
380,1784
380,188
1536,1728
1536,163
1536,2504
1536,1518
1536,207
1650,1466
1650,163
1558,3585
1558,163
1558,2564
1558,3333
1558,1136
2564,1785
2564,163
2564,1558
2564,1159
2298,2728
2298,163
2298,2518
1362,1184
1362,1178
1362,163
1362,2175
1784,1184
1784,2688
1784,3457
1784,163
1784,844
1784,2705
1784,55
1784,2199
1784,380
1831,1832
1831,163
1831,1836
1065,1153
1065,163
1065,1063
1065,3370
1065,1106
1065,1305
1065,1279
290,163
290,2923
290,2220
290,1839
290,2930
290,1911
1277,163
1277,1476
1277,2277
1277,2470
1277,2152
1277,3416
1277,1533
395,163
395,189
395,191
1098,1305
1098,163
1098,1911
1098,343
1404,163
1404,3087
1404,755
1404,1143
1404,219
1099,1178
1099,163
1099,3459
2196,3169
2196,2755
2196,163
2196,938
2196,2964
2196,2267
2196,380
2554,1850
2554,163
1715,793
1715,1386
1715,163
1715,1734
2248,2296
2248,145
2248,163
2251,2296
2251,145
2251,163
2251,2895
2280,145
2280,163
2280,2286
2296,2248
2296,145
2296,163
2296,2251
1113,1153
1113,163
1113,1380
714,833
714,1218
714,163
714,2089
714,1035
714,1299
2638,2202
2638,163
602,1114
602,163
602,2334
1530,1218
1530,163
1530,2089
1530,1424
1530,145
1257,1153
1257,163
1257,2087
1257,1872
1257,2259
1257,1719
1257,380
1257,2175
2259,163
2259,3107
2259,1959
2259,1257
2259,2261
2259,2175
2259,2271
689,1826
689,163
689,1580
689,967
1060,1890
1060,163
1060,965
1060,237
1060,1136
1060,1523
1060,2039
2039,1890
2039,163
2039,1060
2039,2254
1594,1136
1594,163
2116,163
2116,2125
2116,3485
2116,1775
1775,1728
1775,1793
1775,2082
1775,163
1775,2116
1775,1795
1775,1771
1775,3443
422,163
422,1691
422,1069
422,1685
2316,2659
2316,163
2316,743
2316,744
2316,2030
266,163
266,262
658,1577
658,3685
658,163
658,427
1333,578
1333,163
1333,1369
1333,1225
1333,1514
1333,1224
1333,1708
1333,1136
1333,1207
1333,793
1333,1467
1153,1410
1153,163
1153,1219
1153,1127
1153,1063
1153,1065
1153,1257
1153,1611
1153,1675
1153,1070
1153,942
1153,1455
1153,1204
1153,1205
1153,1077
1153,856
1153,1113
1515,961
1515,163
1515,1447
1515,936
1515,1581
1515,1711
1515,988
1114,1696
1114,1603
1114,163
1114,1261
1114,1588
1114,602
1114,1371
1114,1117
523,1921
523,2442
523,1931
523,1676
523,910
523,277
523,1687
523,283
523,540
523,415
523,163
523,551
523,2600
523,2480
523,565
523,54
523,188
523,1214
523,961
523,717
523,1616
523,465
523,2642
523,478
523,870
523,2408
523,882
523,2551
523,508
523,1790
1106,1305
1106,163
1106,3452
1106,1065
1467,793
1467,163
1467,1333
168,1728
168,3430
168,2604
168,475
168,1756
475,168
1756,3590
1756,168
1756,745
1756,2603
1756,2613
1756,1663
552,2
552,644
552,653
552,16
552,277
552,412
552,671
552,548
552,167
552,554
552,298
552,173
552,559
552,688
552,305
552,306
552,691
552,311
552,57
552,60
552,446
552,575
552,451
552,455
552,210
552,723
552,466
552,85
552,472
552,473
552,601
552,220
552,92
552,738
552,483
552,621
552,749
552,239
552,367
552,370
552,374
552,636
548,1859
548,1860
548,552
548,82
548,565
374,552
374,3659
374,455
451,552
451,2537
451,2666
472,3172
472,3079
472,552
472,650
472,1006
472,566
2,552
2,565
2,471
2,410
2,2874
305,552
305,82
305,565
305,410
239,1378
239,552
239,82
239,565
239,3003
446,552
446,554
644,552
644,210
644,565
644,3014
220,552
220,490
220,45
220,295
311,552
311,3421
311,406
653,552
653,2738
653,2480
16,552
16,1697
16,466
16,566
173,162
173,1378
173,294
173,552
173,565
173,566
173,2485
173,575
554,1859
554,294
554,167
554,552
554,875
554,306
554,565
554,446
559,34
559,1378
559,2341
559,167
559,552
559,1816
412,552
412,688
723,552
85,2368
85,294
85,552
85,425
85,465
85,565
688,1248
688,835
688,552
688,60
688,207
688,566
688,412
688,252
621,738
621,1859
621,552
621,3571
621,565
621,471
636,764
636,1573
636,294
636,552
636,3082
636,2027
636,2672
636,118
636,2742
636,2233
636,2204
636,2173
636,2174
636,2687
738,1376
738,1183
738,2628
738,2629
738,552
738,1741
738,621
738,575
738,1585
738,210
738,564
738,565
738,1213
738,1727
749,483
749,197
749,552
749,1459
749,2485
57,967
57,552
57,306
57,1459
57,3540
57,565
60,2979
60,552
60,688
60,562
60,565
60,252
210,738
210,644
210,295
210,552
210,3560
210,1459
210,148
210,63
671,552
671,562
671,1459
671,565
671,566
671,1599
167,552
167,554
167,1459
167,559
92,2438
92,552
92,136
92,1259
92,565
92,479
691,2658
691,552
691,1649
691,1557
691,565
367,552
367,483
367,565
367,440
466,294
466,552
466,16
466,465
466,565
466,566
473,552
473,3186
473,1459
483,933
483,294
483,552
483,650
483,749
483,463
483,367
483,277
483,566
575,1378
575,738
575,552
575,843
575,173
575,882
575,565
575,2485
455,552
455,374
298,552
298,410
298,3256
601,3
601,611
601,552
601,1741
601,565
370,552
370,562
370,875
306,1376
306,967
306,552
306,554
306,565
306,57
277,483
277,294
277,552
277,523
277,567
1459,2404
1459,1540
1459,804
1459,775
1459,167
1459,473
1459,2221
1459,749
1459,45
1459,671
1459,1137
1459,210
1459,566
1459,1687
1459,633
1459,2078
1459,57
2078,2406
2078,295
2078,2474
2078,1459
2078,1983
2221,2404
2221,1459
2221,566
2221,1527
2221,1757
1687,1632
1687,898
1687,773
1687,870
1687,1189
1687,523
1687,1228
1687,1649
1687,1137
1687,1459
1687,148
1687,1557
1687,54
2404,1459
2404,2221
2404,3662
775,875
775,162
775,1459
1540,1378
1540,1443
1540,842
1540,1459
1540,1045
1540,565
1540,1118
633,611
633,197
633,294
633,1459
633,565
633,566
633,3134
45,220
45,490
45,1459
45,492
1137,1459
1137,558
1137,1687
566,1544
566,2827
566,16
566,274
566,1816
566,671
566,34
566,294
566,1447
566,173
566,2221
566,688
566,2480
566,1459
566,565
566,2485
566,186
566,699
566,321
566,449
566,588
566,333
566,465
566,466
566,472
566,858
566,733
566,477
566,2658
566,483
566,1643
566,3313
566,1782
566,633
804,1664
804,1697
804,1459
804,1585
1859,3619
1859,548
1859,554
1859,621
1859,565
1859,471
1859,1791
34,66
34,35
34,559
34,565
34,566
1816,558
1816,1934
1816,559
1816,2485
1816,566
682,88
682,2430
682,1791
1791,682
1791,1859
1791,1559
2430,682
2430,1860
2430,294
2430,2647
87,2245
87,2021
87,719
87,47
87,383
383,2722
383,631
383,638
383,87
47,2846
47,87
2245,2471
2245,2243
2245,87
2438,3284
2438,2091
2438,92
1892,3704
1892,2131
2131,1892
2131,2030
2131,2319
1994,1800
1994,2097
1994,1995
1994,2241
2097,1994
2097,1995
2241,1994
1995,1800
1995,2097
1995,1994
1995,1907
1800,2016
1800,1994
1800,1995
1800,1901
1800,1907
1800,342
1907,1800
1907,1995
1907,2301
478,96
478,227
478,520
478,618
478,523
478,396
478,303
478,497
478,754
478,274
478,52
478,565
478,470
478,215
478,568
478,218
478,479
870,2808
870,523
870,1687
2442,929
2442,2118
2442,71
2442,523
2442,565
2442,2837
1616,882
1616,523
1616,565
2551,2473
2551,523
882,1378
882,1316
882,523
882,1616
882,1012
882,565
882,1529
882,575
283,2889
283,523
283,747
283,2093
283,565
1214,1635
1214,523
1214,583
1931,1408
1931,1921
1931,2402
1931,2624
1931,2277
1931,523
2408,2145
2408,523
2408,1975
54,615
54,712
54,523
54,1687
54,2334
2642,2368
2642,523
2642,565
1676,74
1676,523
1676,207
1676,565
1676,1146
508,417
508,523
508,317
508,2326
540,1121
540,1640
540,523
540,603
540,543
1790,523
1790,565
1790,22
1790,2334
1790,415
465,2368
465,294
465,103
465,523
465,2027
465,2672
465,466
465,85
465,118
465,565
465,566
565,2
565,1540
565,1546
565,523
565,34
565,548
565,554
565,1585
565,564
565,566
565,57
565,60
565,575
565,2628
565,2629
565,2118
565,1616
565,82
565,2642
565,85
565,601
565,92
565,103
565,621
565,2672
565,118
565,633
565,128
565,644
565,1676
565,671
565,173
565,691
565,1213
565,1727
565,1741
565,738
565,239
565,244
565,1782
565,1790
565,773
565,283
565,1316
565,294
565,295
565,305
565,306
565,1859
565,842
565,333
565,1373
565,1376
565,1378
565,367
565,882
565,1401
565,385
565,2442
565,910
565,410
565,1438
565,1440
565,1957
565,2472
565,425
565,2480
565,2485
565,1975
565,465
565,466
565,477
565,478
565,2027
565,492
565,1012
565,502
565,1529
2480,523
2480,653
2480,2485
2480,565
2480,566
551,2473
551,482
551,523
551,2215
1921,1408
1921,2402
1921,523
1921,1931
608,611
608,133
608,680
608,394
608,975
608,179
608,2230
394,608
394,125
394,133
2230,608
2230,611
2230,3628
2230,2095
2230,157
680,608
680,74
680,747
680,90
975,608
975,74
975,76
975,1079
975,668
179,608
179,331
179,611
133,608
133,394
133,611
133,3615
611,2050
611,899
611,386
611,1668
611,133
611,1935
611,2325
611,28
611,1564
611,413
611,1315
611,2340
611,938
611,2352
611,179
611,2230
611,1079
611,579
611,1732
611,2501
611,1352
611,2505
611,2378
611,716
611,718
611,1103
611,1488
611,2385
611,719
611,2260
611,1493
611,601
611,1755
611,1116
611,1499
611,608
611,864
611,1763
611,2540
611,368
611,1265
611,2676
611,3572
611,633
611,511
899,611
899,1672
899,2796
899,1564
899,1565
2501,611
2501,2260
1103,611
1103,74
1103,1579
1103,427
1103,3664
1103,1079
2340,611
2340,1935
2352,611
2352,2055
718,611
718,271
864,611
864,3599
864,2805
864,1079
2505,3070
2505,611
2505,2499
2505,359
1755,2432
1755,611
1755,3365
1763,611
1763,745
1763,2611
1763,407
1763,639
2050,2859
2050,2378
2050,611
386,745
386,2945
386,611
386,747
716,611
716,157
1732,611
1732,1644
1732,2225
1732,2996
1732,1493
1732,853
1732,2423
511,74
511,611
511,2756
2540,160
2540,1857
2540,611
2540,157
2676,2385
2676,2954
2676,611
2676,1787
2385,611
2385,2676
2385,3117
2385,2499
1668,611
1668,2535
1668,2378
1668,1488
1668,1910
28,586
28,611
28,1718
28,1606
1352,1672
1352,2674
1352,611
1352,3200
579,696
579,611
579,747
1493,867
1493,611
1493,1732
1493,774
1493,3124
1116,736
1116,611
1116,708
1116,1593
1116,31
1564,611
1564,899
1564,1672
1564,745
1564,687
368,611
368,747
1488,611
1488,1668
1488,427
1488,206
1488,1490
1488,980
2378,2050
2378,611
2378,1668
2378,3175
2378,2335
938,611
938,1127
938,2799
938,560
938,2196
1265,921
1265,611
1265,1725
1935,611
1935,2340
1935,2499
1499,1306
1499,1050
1499,611
1499,1310
2260,611
2260,2501
2260,3606
1315,2595
1315,611
1315,3683
1315,2452
1315,1079
1315,668
2325,745
2325,2538
2325,611
413,611
413,2772
1534,289
1534,1122
1534,1163
1534,1556
1534,1498
1534,1148
1534,1597
1534,1278
1597,486
1597,3338
1597,1138
1597,1148
1597,1534
1163,1497
1163,1498
1163,1534
1556,1537
1556,2747
1556,2773
1556,1534
1278,289
1278,486
1278,1534
1278,583
1122,578
1122,1194
1122,717
1122,594
1122,1534
1122,799
289,64
289,1537
289,612
289,2568
289,1278
289,1498
289,1534
289,1535
1148,1597
1148,486
1148,1355
1148,30
1148,285
1148,1534
1535,289
1535,1348
1535,629
1535,1537
1348,612
1348,1537
1348,1047
1348,1535
629,1537
629,612
629,221
629,1535
1537,289
1537,1348
1537,1556
1537,629
1537,3418
1537,1535
612,289
612,1348
612,2568
612,629
612,1046
2568,289
2568,612
2568,583
2568,717
2568,2544
1046,1344
1046,1345
1046,1121
1046,612
1046,2706
2302,1353
2302,403
2302,1880
2302,2104
2302,2111
403,2309
403,2956
403,402
403,2104
403,2302
1353,294
1353,934
1353,2317
1353,2929
1353,2302
2111,3241
2111,2302
2111,2047
1880,2302
2104,403
2104,2302
681,712
681,402
681,2309
681,2982
2309,681
2309,1325
2309,1969
2309,403
2309,538
1325,2170
1325,219
1325,2309
1325,1175
2527,1961
2527,1956
2527,2100
2527,735
1956,2649
1956,735
1956,3562
1956,2527
2100,1961
2100,2527
1961,2100
1961,2527
2537,1927
2537,2198
2537,1846
2537,451
1846,3464
1846,2537
1846,1847
1846,1927
2198,1560
2198,2537
2198,2695
1927,2537
1927,3149
1927,3668
1927,1846
1927,1847
1560,535
1560,456
1560,1161
1560,2198
1560,791
535,672
535,109
535,1560
535,761
535,3102
791,1003
791,1004
791,786
791,3159
791,1560
791,1661
1161,2657
1161,1702
1161,1592
1161,2324
1161,2423
1161,1560
456,672
456,2852
456,549
456,1296
456,2099
456,1748
456,2709
456,2455
456,1560
456,569
456,2653
456,25
638,1027
638,1539
638,264
638,521
638,779
638,1808
638,1312
638,2465
638,1189
638,294
638,296
638,1327
638,1460
638,1919
638,441
638,1468
638,701
638,449
638,722
638,89
638,348
638,862
638,2146
638,227
638,1895
638,2409
638,618
638,2541
638,2673
638,375
638,2426
638,2171
638,2045
638,383
2465,2057
2465,228
2465,638
2465,2726
2146,2182
2146,1897
2146,1003
2146,1004
2146,638
701,1644
701,638
701,15
862,1155
862,1513
862,3086
862,785
862,1812
862,2423
862,986
862,1019
862,2364
862,638
862,1407
722,635
722,638
1808,2210
1808,638
1189,1643
1189,638
1189,1687
618,478
618,638
1460,672
1460,924
1460,638
1312,418
1312,1260
1312,1428
1312,1269
1312,1622
1312,344
1312,638
1468,848
1468,638
1468,847
1895,102
1895,1893
1895,638
2171,344
2171,2032
2171,638
2171,2031
441,297
441,638
227,1318
227,296
227,638
227,1547
227,142
227,2319
227,438
227,823
227,378
227,478
296,227
296,692
296,1236
296,438
296,638
2541,2673
2541,686
2541,638
2045,2550
2045,638
1327,1569
1327,2876
1327,1165
1327,638
264,635
264,638
779,2944
779,542
779,747
779,684
779,1203
779,2963
779,638
348,638
348,3575
348,344
348,1244
348,1596
89,635
89,430
89,638
1027,322
1027,56
1027,1322
1027,1388
1027,1336
1027,378
1027,638
521,2312
521,1259
521,3212
521,344
521,1081
521,1082
521,156
521,638
2426,3458
2426,2282
2426,2126
2426,1007
2426,1686
2426,1919
2426,344
2426,2493
2426,638
2426,2431
375,1576
375,635
375,836
375,638
1539,449
1539,136
1539,2091
1539,378
1539,924
1539,638
1919,1007
1919,2426
1919,3643
1919,638
1919,2431
449,1539
449,2832
449,566
449,638
449,479
747,386
747,771
747,779
747,397
747,526
747,527
747,655
747,146
747,18
747,665
747,26
747,283
747,153
747,542
747,545
747,680
747,43
747,685
747,175
747,561
747,310
747,695
747,696
747,186
747,315
747,700
747,572
747,699
747,703
747,579
747,198
747,328
747,73
747,458
747,203
747,330
747,202
747,204
747,72
747,336
747,588
747,719
747,83
747,724
747,205
747,207
747,599
747,600
747,217
747,91
747,349
747,737
747,609
747,610
747,353
747,229
747,741
747,104
747,489
747,234
747,235
747,620
747,362
747,494
747,110
747,112
747,368
747,113
747,369
747,628
747,502
747,763
747,124
747,127
83,3395
83,747
83,294
336,747
73,747
600,745
600,747
600,1052
600,205
203,747
203,2499
203,359
349,747
112,624
112,881
112,747
112,572
234,3008
234,747
234,15
458,745
458,747
458,3111
458,2879
695,747
695,659
695,3237
695,1967
198,747
198,655
502,294
502,2536
502,747
502,565
502,567
724,747
724,2612
328,2619
328,747
328,3017
397,2346
397,747
397,659
397,2946
737,2024
737,747
599,747
665,3136
665,747
665,427
665,294
545,747
186,294
186,747
186,588
186,566
186,3544
494,747
494,427
494,3519
609,747
609,719
610,3113
610,747
610,427
610,3631
315,747
330,576
330,354
330,359
330,747
330,3312
330,731
620,747
229,747
229,477
229,2798
235,747
700,2787
700,747
700,879
700,624
700,625
628,747
526,747
526,427
527,2662
527,747
527,2606
527,1968
527,1656
763,2355
763,241
763,747
763,1879
146,17
146,747
146,427
104,771
104,747
771,104
771,745
771,202
771,747
771,72
572,624
572,881
572,747
572,112
699,566
699,747
699,588
699,294
217,2355
217,747
217,685
110,745
110,747
110,3358
110,687
202,771
202,72
202,747
202,204
202,427
204,741
204,202
204,747
204,2410
204,1645
204,274
204,1811
204,597
204,2650
43,576
43,747
655,2835
655,747
655,198
72,771
72,745
72,202
72,747
26,1129
26,2737
26,747
26,2612
685,217
685,747
18,866
18,745
18,747
18,427
18,1932
18,890
18,127
542,779
542,747
542,3060
542,1203
588,294
588,747
588,566
588,186
588,699
703,2233
703,747
741,747
741,204
741,1157
741,687
310,2513
310,74
310,747
310,668
124,2400
124,745
124,747
124,122
124,127
127,2400
127,3392
127,745
127,747
127,18
127,2228
127,122
127,124
719,609
719,2561
719,1666
719,611
719,520
719,747
719,1133
719,1838
719,87
719,1112
153,747
153,294
153,63
205,3009
205,745
205,3369
205,747
205,427
205,3275
205,600
207,1536
207,2976
207,747
207,1676
207,688
113,3171
113,747
696,579
696,1672
696,747
696,427
696,215
489,3522
489,747
489,301
489,2670
489,238
489,46
489,1815
561,745
561,747
561,427
369,747
175,747
353,747
353,427
91,745
91,747
362,747
362,2191
66,1248
66,288
66,34
66,1698
66,69
66,2310
66,2441
66,2122
66,2157
66,149
66,2294
66,215
66,2520
66,183
66,1531
66,2359
2359,2520
2359,66
1248,688
1248,66
1248,835
2294,2529
2294,66
2294,649
2294,2380
2294,1140
69,66
215,66
215,2380
215,2061
215,696
215,478
2310,66
2310,3402
2310,2607
2310,2583
2310,318
1531,66
1531,1154
1531,887
1531,2870
1531,983
2441,66
2441,3481
2441,344
2441,2585
2441,3581
2122,66
2122,1864
2122,75
2122,1854
2122,1855
183,66
183,539
183,541
183,454
1698,66
1698,2597
1698,686
1698,430
1698,1626
149,66
2520,66
2520,2359
288,1377
288,66
288,75
288,2380
288,2157
288,2037
2157,288
2157,66
2157,2565
1740,1136
1740,1305
1063,1136
1063,1153
1063,1628
1063,1065
1142,1136
1142,1018
1142,3463
1018,1136
1018,2961
1018,1139
1018,1142
1516,1136
1516,833
1516,1218
1516,2779
345,1924
345,261
345,74
345,76
345,622
345,2389
345,117
345,2421
345,2266
117,513
117,452
117,3471
117,345
117,155
2389,345
2389,2421
2266,3081
2266,74
2266,2421
2266,345
2266,3546
2266,2845
1924,2040
1924,345
1924,3613
1924,2327
261,345
261,626
1256,881
1256,2675
1256,1019
1256,1644
881,1411
881,2405
881,1256
881,2743
881,74
881,2702
881,112
881,816
881,1203
881,2454
881,2295
881,2203
881,572
881,2423
881,1119
1351,1498
1351,900
900,228
900,1351
900,1583
900,1207
900,1533
2474,62
2474,2425
2474,2078
2425,3422
2425,2341
2425,423
2425,2474
2425,788
2425,62
580,581
580,1126
580,1497
580,922
580,1212
580,1215
922,1416
922,1233
922,923
922,580
1212,580
1212,1126
1212,1552
1212,817
1212,818
1212,819
1212,1497
1496,1125
1125,166
1125,1483
1125,817
1125,818
1125,1496
1125,857
1497,580
1497,901
1497,1126
1497,1163
1497,1212
901,1497
901,1554
901,1553
581,49
581,50
581,580
581,222
222,3706
222,643
222,581
49,643
49,581
50,3552
50,643
50,581
50,583
50,150
582,1792
582,259
582,3633
582,818
582,1498
818,1125
818,582
818,817
818,819
818,1212
818,1215
259,320
259,228
259,582
2398,2372
2398,583
2398,2184
2398,1498
2398,2399
2158,2449
2158,1498
1049,1329
1049,1498
1049,1292
1049,3405
1071,1329
1071,1498
1071,1292
2450,1881
2450,2449
2450,1498
1483,1123
1483,2052
1483,1125
1483,2060
1483,3444
1483,857
1483,1498
583,64
583,2398
583,643
583,2371
583,1126
583,2568
583,50
583,284
583,1214
583,1278
1126,2371
1126,580
1126,2372
1126,583
1126,1497
1126,2711
1126,2489
1126,923
1126,1212
64,289
64,284
64,486
64,583
284,64
284,486
284,583
284,2766
284,3163
643,1121
643,583
643,1904
643,49
643,50
643,3603
643,150
